Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10-28-2018,AQS,481130069,2,37.4,ppb,35,Dallas Hinton,22,92,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-29-2018,AQS,481130069,2,24.8,ppb,23,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-30-2018,AQS,481130069,2,8.6,ppb,8,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-31-2018,AQS,481130069,2,16.1,ppb,15,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-11-18,AQS,481130069,2,28.7,ppb,26,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-11-18,AQS,481130069,2,40.8,ppb,38,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-11-18,AQS,481130069,2,27.3,ppb,25,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-11-18,AQS,481130069,2,28.3,ppb,26,Dallas Hinton,22,92,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-11-18,AQS,481130069,2,31.5,ppb,29,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-11-18,AQS,481130069,2,16.8,ppb,15,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
07-11-18,AQS,481130069,2,10,ppb,9,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
08-11-18,AQS,481130069,2,12.4,ppb,11,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
